text,label
the staff members were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the servers,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the waitstaff,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the employees were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the employees were very rude and unhelpful,Staff Complaint
I had a poor experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the staff members,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the employees ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the waitstaff were very rude and unhelpful,Staff Complaint
I had a bad experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a poor experience with the restaurant staff,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the waitstaff,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a awful experience with the waitstaff,Staff Complaint
the employees did not assist me at all,Staff Complaint
I felt disrespected by the staff members,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a horrible experience with the waitstaff,Staff Complaint
the employees did not assist me at all,Staff Complaint
I felt disrespected by the servers,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the employees ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the staff members were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a horrible experience with the waitstaff,Staff Complaint
the waitstaff did not assist me at all,Staff Complaint
I felt disrespected by the waitstaff,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a terrible experience with the staff members,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the staff members ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the employees were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the waitstaff,Staff Complaint
the employees did not assist me at all,Staff Complaint
I felt disrespected by the servers,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the employees,Staff Complaint
the employees ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the employees were very rude and unhelpful,Staff Complaint
I had a poor experience with the employees,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the staff members,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the staff members were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a awful experience with the staff members,Staff Complaint
the employees did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the employees ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the waitstaff were very rude and unhelpful,Staff Complaint
I had a bad experience with the employees,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the restaurant staff,Staff Complaint
the servers ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a horrible experience with the staff members,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the employees ignored my requests,Staff Complaint
the employees were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the waitstaff were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the waitstaff,Staff Complaint
the waitstaff did not assist me at all,Staff Complaint
I felt disrespected by the servers,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the servers ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the waitstaff were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the restaurant staff,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the employees were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a bad experience with the restaurant staff,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the waitstaff,Staff Complaint
the restaurant staff were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a horrible experience with the servers,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the restaurant staff,Staff Complaint
the staff members ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the staff members were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a awful experience with the employees,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the staff members ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the employees,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the staff members,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the staff members ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the servers,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a horrible experience with the restaurant staff,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the employees ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a terrible experience with the restaurant staff,Staff Complaint
the waitstaff did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the employees ignored my requests,Staff Complaint
the staff members were unprofessional,Staff Complaint
the restaurant staff were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a awful experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the restaurant staff were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the staff members ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the waitstaff were very rude and unhelpful,Staff Complaint
I had a unsatisfactory experience with the staff members,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the staff members ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the servers were very rude and unhelpful,Staff Complaint
I had a bad experience with the restaurant staff,Staff Complaint
the employees did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the employees,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the waitstaff were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a poor experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the waitstaff,Staff Complaint
the staff members were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the servers ignored my requests,Staff Complaint
the servers were unprofessional,Staff Complaint
the waitstaff were not attentive,Staff Complaint
the restaurant staff were very rude and unhelpful,Staff Complaint
I had a horrible experience with the employees,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the servers,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the restaurant staff,Staff Complaint
the employees ignored my requests,Staff Complaint
the employees were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a terrible experience with the staff members,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the employees,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the waitstaff,Staff Complaint
the waitstaff ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the servers were not attentive,Staff Complaint
the employees were very rude and unhelpful,Staff Complaint
I had a awful experience with the waitstaff,Staff Complaint
the restaurant staff did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the servers were not trained properly,Staff Complaint
I want to file a complaint against the servers,Staff Complaint
the employees ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
the waitstaff were not attentive,Staff Complaint
the waitstaff were very rude and unhelpful,Staff Complaint
I had a poor experience with the staff members,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the staff members ignored my requests,Staff Complaint
the employees were unprofessional,Staff Complaint
the employees were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a poor experience with the restaurant staff,Staff Complaint
the servers did not assist me at all,Staff Complaint
I felt disrespected by the staff members,Staff Complaint
the employees were not trained properly,Staff Complaint
I want to file a complaint against the employees,Staff Complaint
the servers ignored my requests,Staff Complaint
the restaurant staff were unprofessional,Staff Complaint
the staff members were not attentive,Staff Complaint
the staff members were very rude and unhelpful,Staff Complaint
I had a awful experience with the staff members,Staff Complaint
the staff members did not assist me at all,Staff Complaint
I felt disrespected by the restaurant staff,Staff Complaint
the waitstaff were not trained properly,Staff Complaint
I want to file a complaint against the staff members,Staff Complaint
the restaurant staff ignored my requests,Staff Complaint
the waitstaff were unprofessional,Staff Complaint
